[8h12] - Jordan_Maxwell  : SHOW INDEXES FROM utilisateur 
[8h12] -  : SHOW INDEXES FROM classe 
[8h13] -  : SHOW INDEXES FROM classe 
[8h16] -  : SHOW INDEXES FROM classe 
[8h20] -  : SHOW INDEXES FROM classe 
[8h24] -  : SHOW INDEXES FROM classe 
[8h24] -  : SHOW INDEXES FROM classe 
[8h24] -  : SHOW INDEXES FROM classe 
[8h24] -  : SHOW INDEXES FROM classe 
[8h25] -  : SHOW INDEXES FROM classe 
[8h25] -  : SHOW INDEXES FROM classe 
[8h59] -  : SHOW INDEXES FROM classe 
[8h59] -  : SHOW INDEXES FROM classe 
[9h00] -  : SHOW INDEXES FROM classe 
[9h00] -  : SHOW INDEXES FROM classe 
[9h01] -  : SHOW INDEXES FROM classe 
[9h01] -  : SHOW INDEXES FROM classe 
[9h01] -  : SHOW INDEXES FROM classe 
[9h01] -  : SHOW INDEXES FROM classe 
[9h02] -  : SHOW INDEXES FROM classe 
[9h02] -  : SHOW INDEXES FROM classe 
[9h02] -  : SHOW INDEXES FROM classe 
[9h02] -  : SHOW INDEXES FROM classe 
[9h02] -  : SHOW INDEXES FROM classe 
[9h03] -  : SHOW INDEXES FROM classe 
[9h03] -  : SHOW INDEXES FROM classe 
[9h04] -  : SHOW INDEXES FROM classe 
[9h04] -  : SHOW INDEXES FROM classe 
[9h04] -  : SHOW INDEXES FROM classe 
[9h06] -  : SHOW INDEXES FROM classe 
[9h07] -  : SHOW INDEXES FROM classe 
[9h08] -  : SHOW INDEXES FROM classe 
[9h11] -  : SHOW INDEXES FROM classe 
[9h11] -  : SHOW INDEXES FROM classe 
[9h11] -  : SHOW INDEXES FROM classe 
[9h11] -  : SHOW INDEXES FROM classe 
[9h11] -  : SHOW INDEXES FROM classe 
[9h11] -  : SHOW INDEXES FROM classe 
[9h11] -  : SHOW INDEXES FROM classe 
[9h11] -  : SHOW INDEXES FROM classe 
[9h11] -  : SHOW INDEXES FROM classe 
[9h12] -  : SHOW INDEXES FROM classe 
[9h12] -  : SHOW INDEXES FROM classe 
[9h13] -  : SHOW INDEXES FROM classe 
[9h13] -  : SHOW INDEXES FROM classe 
[9h13] -  : SHOW INDEXES FROM classe 
[9h13] -  : SHOW INDEXES FROM classe 
[9h13] -  : SHOW INDEXES FROM classe 
[9h13] -  : SHOW INDEXES FROM classe 
[9h14] -  : SHOW INDEXES FROM classe 
[9h20] -  : SHOW INDEXES FROM classe 
[9h20] -  : SHOW INDEXES FROM classe 
[9h23] -  : SHOW INDEXES FROM classe 
[9h24] -  : SHOW INDEXES FROM classe 
[9h25] -  : SHOW INDEXES FROM classe 
[9h25] -  : SHOW INDEXES FROM classe 
[9h25] -  : SHOW INDEXES FROM classe 
[9h26] -  : SHOW INDEXES FROM classe 
[9h27] -  : SHOW INDEXES FROM classe 
[9h27] -  : SHOW INDEXES FROM classe 
[9h27] -  : SHOW INDEXES FROM classe 
[9h27] -  : SHOW INDEXES FROM classe 
[9h28] -  : SHOW INDEXES FROM classe 
[9h28] -  : SHOW INDEXES FROM classe 
[9h29] -  : SHOW INDEXES FROM classe 
[9h34] -  : SHOW INDEXES FROM classe 
[9h34] -  : SHOW INDEXES FROM classe 
[9h44] -  : SHOW INDEXES FROM classe 
[9h45] -  : SHOW INDEXES FROM classe 
[9h45] -  : SHOW INDEXES FROM classe 
[9h46] -  : SHOW INDEXES FROM classe 
[9h48] -  : SHOW INDEXES FROM classe 
[9h48] -  : SHOW INDEXES FROM classe 
[9h48] -  : SHOW INDEXES FROM classe 
[9h48] -  : SHOW INDEXES FROM classe 
[9h48] -  : SHOW INDEXES FROM classe 
[9h49] -  : SHOW INDEXES FROM classe 
[9h49] -  : SHOW INDEXES FROM classe 
[9h50] -  : SHOW INDEXES FROM classe 
[9h50] -  : SHOW INDEXES FROM classe 
[9h51] -  : SHOW INDEXES FROM classe 
[9h54] -  : SHOW INDEXES FROM classe 
[9h54] -  : SHOW INDEXES FROM classe 
[9h54] -  : SHOW INDEXES FROM classe 
[9h55] -  : SHOW INDEXES FROM classe 
[9h55] -  : SHOW INDEXES FROM classe 
[9h56] -  : SHOW INDEXES FROM classe 
[9h56] -  : SHOW INDEXES FROM classe 
[9h56] -  : SHOW INDEXES FROM classe 
[9h57] -  : SHOW INDEXES FROM classe 
[9h58] -  : SHOW INDEXES FROM classe 
[9h59] -  : SHOW INDEXES FROM classe 
[9h59] -  : SHOW INDEXES FROM classe 
[10h00] -  : SHOW INDEXES FROM classe 
[10h01] -  : SHOW INDEXES FROM classe 
[10h02] -  : SHOW INDEXES FROM classe 
[10h02] -  : SHOW INDEXES FROM classe 
[10h04] -  : SHOW INDEXES FROM classe 
[10h05] -  : SHOW INDEXES FROM classe 
[10h05] -  : SHOW INDEXES FROM classe 
[10h06] -  : SHOW INDEXES FROM classe 
[10h07] -  : SHOW INDEXES FROM classe 
[10h07] -  : SHOW INDEXES FROM classe 
[10h07] -  : SHOW INDEXES FROM classe 
[10h07] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h08] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h09] -  : SHOW INDEXES FROM classe 
[10h10] -  : SHOW INDEXES FROM classe 
